id,employee_id,overtime_status,in_mode,check_in,check_out,worked_hours,overtime_hours,validated_overtime_hours,expected_hours,late_minutes,deduction_amount,display_late_minutes,is_late,missing_checkout,check_date,check_in_hour,day_of_week
12726,16,approved,manual,2026-01-07 01:45:03,2026-01-07 11:04:58,8.3319,0.3319,0.3319444444444448,7.999999999999999,0,0.00,0,0,0,2026-01-07,1.75,2
12728,14,approved,manual,2026-01-07 01:53:20,2026-01-07 11:05:19,8.1997,0.1997,0.199722222222222,8.0,0,0.00,0,0,0,2026-01-07,1.8833333333333333,2
12740,11,approved,manual,2026-01-08 01:51:38,2026-01-08 11:10:20,8.3117,0.3117,0.3116666666666682,7.999999999999999,0,0.00,0,0,0,2026-01-08,1.85,3
12605,8,approved,manual,2026-01-07 02:00:57,2026-01-07 11:12:09,8.1867,0.1867,0.1866666666666672,8.0,0,0.00,0,0,0,2026-01-07,2.0,2
11787,1,approved,manual,2025-11-03 01:46:32,2025-11-03 11:09:33,8.3836,0.3836,0.38361111111111146,8.0,0,0.00,0,0,0,2025-11-03,1.7666666666666666,0
11805,1,approved,manual,2025-11-04 01:57:27,2025-11-04 11:08:48,8.1892,0.1892,0.1891666666666662,8.0,0,0.00,0,0,0,2025-11-04,1.95,1
11465,1,approved,manual,2025-10-01 01:58:35,2025-10-01 11:28:04,8.4914,0.4914,0.491388888888888,8.0,0,0.00,0,0,0,2025-10-01,1.9666666666666668,2
11476,1,approved,manual,2025-10-02 01:58:14,2025-10-02 11:14:27,8.2703,0.2703,0.2702777777777781,8.0,0,0.00,0,0,0,2025-10-02,1.9666666666666668,3
11493,1,approved,manual,2025-10-03 02:00:45,2025-10-03 11:07:36,8.1142,0.1142,0.11416666666666778,7.999999999999998,0,0.00,0,0,0,2025-10-03,2.0,4
11504,1,approved,manual,2025-10-06 01:58:30,2025-10-06 11:09:02,8.1756,0.1756,0.17555555555555674,8.0,0,0.00,0,0,0,2025-10-06,1.9666666666666668,0
11520,1,approved,manual,2025-10-07 01:59:14,2025-10-07 11:04:01,8.0797,0.0797,0.0797222222222215,8.0,0,0.00,0,0,0,2025-10-07,1.9833333333333334,1
11532,1,approved,manual,2025-10-08 01:58:47,2025-10-08 11:19:52,8.3514,0.3514,0.3513888888888901,8.0,0,0.00,0,0,0,2025-10-08,1.9666666666666668,2
11548,1,approved,manual,2025-10-09 01:58:53,2025-10-09 11:06:01,8.1189,0.1189,0.1188888888888897,8.0,0,0.00,0,0,0,2025-10-09,1.9666666666666668,3
11559,1,approved,manual,2025-10-10 02:00:20,2025-10-10 11:15:11,8.2475,0.2475,0.24749999999999867,8.000000000000002,0,0.00,0,0,0,2025-10-10,2.0,4
12736,7,approved,manual,2026-01-07 02:05:18,2026-01-07 11:05:02,7.9956,0.0,0,7.995555555555556,5,0.00,0.08833333333333333,1,0,2026-01-07,2.0833333333333335,2
12729,19,approved,manual,2026-01-07 01:57:03,2026-01-07 11:07:52,8.1803,0.1803,0.1802777777777786,8.0,0,0.00,0,0,0,2026-01-07,1.95,2
12733,17,approved,manual,2026-01-07 02:00:16,2026-01-07 11:12:05,8.1969,0.1969,0.19694444444444384,8.0,0,0.00,0,0,0,2026-01-07,2.0,2
12727,11,approved,manual,2026-01-07 01:50:47,2026-01-07 11:12:18,8.3586,0.3586,0.3586111111111115,8.0,0,0.00,0,0,0,2026-01-07,1.8333333333333335,2
12735,6,approved,manual,2026-01-07 02:03:58,2026-01-07 11:12:25,8.1408,0.1408,0.14083333333333467,7.999999999999998,3,0.00,0.0661111111111111,1,0,2026-01-07,2.05,2
12731,12,approved,manual,2026-01-07 01:58:15,2026-01-07 11:13:11,8.2489,0.2489,0.24888888888888921,7.999999999999999,0,0.00,0,0,0,2026-01-07,1.9666666666666668,2
12737,2,approved,manual,2026-01-07 02:05:40,2026-01-07 11:18:28,8.2133,0.2133,0.21333333333333288,8.0,5,0.00,0.09444444444444446,1,0,2026-01-07,2.0833333333333335,2
12738,10,approved,manual,2026-01-07 11:17:52,2026-01-07 11:17:52,0.0,0.0,0,0.0,0,0.00,0,0,0,2026-01-07,11.283333333333333,2
12734,18,approved,manual,2026-01-07 02:00:29,2026-01-07 11:46:08,8.7608,0.7608,0.760833333333332,8.000000000000002,0,0.00,0,0,0,2026-01-07,2.0,2
12739,16,approved,manual,2026-01-08 01:35:22,2026-01-08 01:35:22,0.0,0.0,0,0.0,0,0.00,0,0,0,2026-01-08,1.5833333333333335,3
12742,6,approved,manual,2026-01-08 01:58:18,2026-01-08 11:09:00,8.1783,0.1783,0.17833333333333312,8.0,0,0.00,0,0,0,2026-01-08,1.9666666666666668,3
12747,1,approved,manual,2026-01-08 02:00:27,2026-01-08 11:09:04,8.1436,0.1436,0.14361111111111213,7.999999999999999,0,0.00,0,0,0,2026-01-08,2.0,3
12741,7,approved,manual,2026-01-08 01:57:52,2026-01-08 11:09:56,8.2011,0.2011,0.20111111111111155,7.999999999999999,0,0.00,0,0,0,2026-01-08,1.95,3
12743,12,approved,manual,2026-01-08 01:58:21,2026-01-08 11:10:13,8.1978,0.1978,0.1977777777777788,8.0,0,0.00,0,0,0,2026-01-08,1.9666666666666668,3
12744,19,approved,manual,2026-01-08 01:58:25,2026-01-08 11:10:54,8.2081,0.2081,0.208055555555555,8.0,0,0.00,0,0,0,2026-01-08,1.9666666666666668,3
12746,17,approved,manual,2026-01-08 02:00:00,2026-01-08 11:11:55,8.1986,0.1986,0.19861111111111113,8.0,0,0.00,0,0,0,2026-01-08,2.0,3
12745,22,approved,manual,2026-01-08 01:59:05,2026-01-08 11:19:32,8.3408,0.3408,0.3408333333333347,7.999999999999999,0,0.00,0,0,0,2026-01-08,1.9833333333333334,3
12748,18,approved,manual,2026-01-08 02:05:06,2026-01-08 11:26:55,8.3636,0.3636,0.3636111111111102,8.000000000000002,5,0.00,0.08499999999999999,1,0,2026-01-08,2.0833333333333335,3
